,cmc,color,name,type,star_score,board_ratio
1938,2,R,TBLD Leyfire,Flash Sorcery,0,0.0
1937,1,G,TBLD Global Presence,Flash Sorcery,0,
1936,2,G,TBLD Root Snare,Flash Sorcery,0,
1935,4,G,TBLD Mammoth Growth,Flash Sorcery,0,1.0
1934,1,U,TBLD Surf the Web,Sorcery,0,1.0
1933,4,U,TBLD Torrent Seed,Sorcery,0,
1932,2,R,TBLD Thrill of Possibility,Flash Sorcery,0,1.0
1931,3,R,TBLD Brimstone Volley,Flash Sorcery,0,
1930,1,R,TBLD Reckless Abandon,Sorcery,0,1.0
1929,3,U,TBLD Ethereal Insight,Flash Sorcery,0,
1928,6,B,TBLD Void Fissure,Sorcery,0,0.0
1927,2,R,TBLD Zap,Flash Sorcery,0,
1925,6,G,TBLD Become Immense,Flash Sorcery,0,1.0
1924,1,G,TBLD Giant Growth,Flash Sorcery,0,1.0
1923,1,W,TBLD Artful Maneuver,Flash Sorcery,0,1.0
1922,1,W,TBLD Arresters Zeal,Flash Sorcery,0,1.0
1921,1,G,TBLD Scrape By,Flash Sorcery,0,0.4444444444444444
1920,1,W,TBLD Mortals Ardor,Flash Sorcery,0,1.0
1917,3,G,TBLD Unsettling Embrace,Enchantment - Aura ,0,0.5714285714285714
1916,3,G,TBLD Hydras Growth,Enchantment - Aura ,0,1.0
1913,1,G,TBLD Druidic Blessing,Enchantment - Aura ,0,
1910,2,C,TBLD Fleetfeather Sandals,Artifact - Equipment ,0,
1940,2,U,TBLD Chart a Course,Sorcery,0,
1908,1,B,TBLD Reapers Talisman,Artifact - Equipment ,0,
1948,1,HBG,TBLD Foraging Oozeling,Creature - Ooze ,0,1.0
1950,2,W,TBLD Clacking Scarecrow,Artifact Creature - Scarecrow ,0,
1978,3,U,TBLD Bazaar Trademage,Creature - Human Wizard ,0,1.0
1976,6,B,TBLD Sultai Scavenger,Creature - Bird Warrior ,0,0.5
1975,6,G,TBLD Hooting Mandrills,Creature - Ape ,0,
1974,2,U,TBLD Persistent Petitioners,Creature - Human Advisor ,0,
1973,5,MWU,TBLD Azorius Skyguard,Creature - Human Knight ,0,
1972,4,MWU,TBLD Windreaver,Creature - Elemental ,0,1.0
1971,2,MWU,TBLD Resplendent Griffin,Creature - Griffin ,0,
1970,2,U,TBLD Timestream Navigator,Creature - Human Rogue Wizard ,0,
1969,10,U,TBLD Deep-Sea Kraken,Creature - Leviathan ,0,1.0
1968,5,U,TBLD Tolarian Kraken,Creature - Leviathan ,0,
1967,7,MGU,TBLD Simic Sky Swallower,Creature - Leviathan ,0,1.0
1966,6,G,TBLD Stag of the Deep Wilds,Creature - Elk ,0,
1965,2,G,TBLD Hidden Herbalists,Creature - Human Shaman ,0,1.0
1962,1,B,TBLD Salvage Slasher,Artifact Creature - Human Rogue ,0,
1961,2,C,TBLD Thanes Consort,Artifact Creature - Phyrexian Advisor ,0,1.0
1960,5,R,TBLD Plunder,Sorcery,0,1.0
1959,0,R,TBLD Wheel of Fate,Sorcery,0,
1958,4,G,TBLD Trumpeting Herd,Sorcery,0,
1956,1,C,TBLD Grim Progress,Sorcery,0,0.6666666666666666
1955,1,B,TBLD Altar of Compleation,Artifact ,0,
1954,2,R,TBLD Emphatic Beat,Enchantment,0,
1952,6,C,TBLD Callous Oppression,Enchantment,0,0.3333333333333333
1951,7,C,TBLD Broken Angel,Artifact Creature - Phyrexian Angel ,0,0.15384615384615385
1949,3,C,TBLD Porcelain Legionnaire,Artifact Creature - Phyrexian Soldier ,0,0.8095238095238095
1253,5,MRG,TBLD Zhur-Taa Ancient,Creature - Beast ,0,
2285,6,U,TBLD Echo of Eons,Sorcery,0,
1251,4,MRG,TBLD Streetbreaker Wurm,Creature - Wurm ,0,
844,0,MWB,TBLD Shrouded Square,Land,0,
843,0,MWB,TBLD Funerary Grounds,Land - Plains Swamp ,0,1.0
100,6,MBG,TBLD Casualties of War,Sorcery,0,
839,0,MUR,TBLD Volcanic Depths,Land - Island Mountain ,0,1.0
838,0,MUG,TBLD Elder Pines,Land - Forest Island ,0,1.0
101,3,MUB,TBLD Mnemonic Betrayal,Sorcery,0,
835,0,MUG,TBLD Gurgling Mill,Land - Forest Island ,0,1.0
834,0,MUR,TBLD Unstable Geyser,Land,0,1.0
99,1,B,TBLD Spoils of the Vault,Flash Sorcery,0,
102,4,MUB,TBLD Unravel,Flash Sorcery,0,
832,0,MGUR,TBLD Whispering Grove,Land,0,
104,2,U,TBLD Mystic Reflection,Flash Sorcery,0,1.0
105,1,R,TBLD Smelt,Flash Sorcery,0,0.0
1252,6,MRG,TBLD Rubblehulk,Creature - Elemental ,0,
828,0,MUR,TBLD Trove of Gemstones,Land,0,
827,0,MWUBRG,TBLD Coruscating Cityscape,Land,0,1.0
107,2,MUR,TBLD Epic Experiment,Sorcery,0,
824,0,C,TBLD Thrumming Core,Land - Station ,0,1.0
103,5,B,TBLD Sink into Oblivion,Flash Sorcery,0,
823,0,MBR,TBLD Smokey Badland,Land,0,
847,0,MBG,TBLD Root Cavity,Land,0,1.0
98,2,MWU,TBLD E-Commerce,Enchantment,0,
92,6,W,TBLD Axis of Mortality,Enchantment,0,
861,0,C,TBLD Dreamworld Portal,Land,0,1.0
93,6,U,TBLD Willbreakers Sway,Enchantment,0,
94,2,W,TBLD Blind Obedience,Enchantment,0,0.3333333333333333
860,0,C,TBLD Burial Chamber,Land,0,1.0
859,0,C,TBLD Urzas Factory,Land,0,
858,0,C,TBLD Edge of Vesuva,Land,0,1.0
857,0,MGU,TBLD Combine Concourse,Land,0,1.0
848,0,MGW,TBLD Conclave Guardian Grove,Land,0,1.0
95,5,R,TBLD Devotional Fervor,Enchantment,0,
856,0,MRW,TBLD Legion Stronghold,Land,0,
855,0,MUB,TBLD House Agent Alleyway,Land,0,
97,3,R,TBLD Demonfire Breach,Enchantment,0,
853,0,MWB,TBLD Syndicate Treasury,Land,0,
852,0,MRG,TBLD Clan Hunting Grounds,Land,0,1.0
851,0,MBR,TBLD Cult Revelroom,Land,0,1.0
850,0,MBG,TBLD Swarm Sluiceway,Land,0,1.0
849,0,MUR,TBLD League Electro-Reactor,Land,0,1.0
96,3,W,TBLD Rule of Law,Enchantment,0,
822,0,MBG,TBLD Moldering Dross,Land,0,
821,0,MGU,TBLD Thawing Underbrush,Land,0,
820,0,MRW,TBLD Stoneblock Quarry,Land,0,1.0
715,0,MWBG,TBLD Sandsteppe Citadel,Land,0,1.0
714,0,MWG,TBLD Saltcrusted Steppe,Land,0,
713,0,MUWB,TBLD Moonlit Dunes,Land,0,1.0
118,2,W,TBLD Paladin of Atonement,Creature - Vampire Knight ,0,
711,0,MWB,TBLD Royal Vault,Land,0,
710,0,B,TBLD Rotted Dregs,Land,0,1.0
709,0,C,TBLD Bustling Port,Land,0,
708,0,U,TBLD Remote Atoll,Land,0,1.0
117,2,W,TBLD Famished Paladin,Creature - Vampire Knight ,0,
707,0,MWR,TBLD Ravine Passage,Land,0,1.0
705,0,MBR,TBLD Rakdos Carnarium,Land,0,1.0
704,0,C,TBLD Coral Barrens,Land,0,
703,0,MWG,TBLD Quiet Space,Land,0,
702,0,C,TBLD Precarious Mineshaft,Land,0,
119,3,W,TBLD Inspiring Cleric,Creature - Vampire Cleric ,0,
701,0,C,TBLD Cracked Wasteland,Land,0,1.0
700,0,C,TBLD Positronic Tower,Land - Station,0,1.0
699,0,MUG,TBLD Pondpad Basin,Land,0,
706,0,C,TBLD Ramshackle Windmill,Land,0,1.0
716,0,MBRG,TBLD Savage Lands,Land,0,
116,3,W,TBLD Forerunner of the Legion,Flash Creature - Vampire Knight ,0,
717,0,MWR,TBLD Scenic Landscape,Land,0,1.0
819,0,MWB,TBLD Slum Block,Land,0,
818,0,MGW,TBLD Backwood Cottage,Land,0,
108,2,MRG,TBLD Savage Twister,Flash Sorcery,0,
816,0,MUB,TBLD Scuttlebank Straight,Land,0,
110,1,G,TBLD Snakeskin Veil,Flash Sorcery,0,
815,0,MWU,TBLD Civic Spires,Land,0,
814,0,MUR,TBLD Drifting Glacier,Land,0,
813,0,C,TBLD Tectonic Edge,Land,0,
730,0,W,TBLD Sunny Meadow,Land,0,
112,3,B,TBLD Stroke of Midnight,Flash Sorcery,0,
728,0,MRG,TBLD Majestic Vale,Land,0,
727,0,MWR,TBLD Sacred Standing Stones,Land - Mountain Plains ,0,1.0
726,0,MWB,TBLD Spoiled Pasture,Land - Plains Swamp ,0,1.0
115,4,B,TBLD Diregraf Monstrosity,Creature - Zombie Horror ,0,
723,0,MUG,TBLD Simic Growth Chamber,Land,0,
722,0,MWUBRG,TBLD Shimmering Grotto,Land,0,
720,0,MWG,TBLD Selesnya Sanctuary,Land,0,
719,0,R,TBLD Seething Crater,Land,0,1.0
718,0,MGWU,TBLD Seaside Citadel,Land,0,1.0
863,0,C,TBLD The Archive of Kariro,Legendary Land,0,
864,0,MWU,TBLD Wanderwine Hub,Land,0,1.0
865,0,MRW,TBLD Titanfell Heath,Land,0,
866,0,MBG,TBLD Macabre Statuary,Land,0,
929,1,B,TBLD Vampire Cutthroat,Creature - Vampire Rogue ,0,
928,1,B,TBLD Rancid Rats,Creature - Zombie Rat ,0,
71,1,R,TBLD Crowds Favor,Flash Sorcery,0,1.0
927,2,B,TBLD Ravenous Rats,Creature - Rat ,0,
72,1,R,TBLD Dynacharge,Flash Sorcery,0,
926,2,B,TBLD Bloodcrazed Paladin,Flash Creature - Vampire Knight ,0,
925,2,B,TBLD Highborn Stalker,Flash Creature - Vampire Noble ,0,1.0
73,1,R,TBLD Titans Strength,Flash Sorcery,0,
930,6,B,TBLD Defiant Bloodlord,Flash Creature - Vampire ,0,
923,4,B,TBLD Queens Envoy,Creature - Vampire Scout ,0,0.0
921,2,B,TBLD Stromkirk Condemned,Creature - Vampire Horror ,0,1.0
920,1,B,TBLD Indulgent Aristocrat,Creature - Vampire Noble ,0,1.0
919,1,B,TBLD Vicious Conquistador,Creature - Vampire Soldier ,0,1.0
918,1,B,TBLD Vampire of the Dire Moon,Creature - Vampire ,0,1.0
74,2,R,TBLD Crushing Assault,Flash Sorcery,0,
917,1,B,TBLD Nameless Agent,Creature - Human Rogue ,0,
916,1,B,TBLD Handmaiden of Vraska,Creature - Gorgon Rogue ,0,
76,3,B,TBLD Midnight Errand,Sorcery,0,1.0
922,2,MWB,TBLD Tithe Drinker,Creature - Vampire Noble ,0,
931,5,B,TBLD Marshland Bloodcaster,Creature - Vampire Wizard ,0,
932,5,MWB,TBLD Vona Butcher of Magan,Legendary Creature - Vampire Knight ,0,
70,1,U,TBLD Artful Dodge,Sorcery,0,1.0
951,2,G,TBLD Root Out,Sorcery,0,0.0
950,2,B,TBLD Wishclaw Talisman,Artifact,0,1.0
949,2,G,TBLD Deeproot Champion,Creature - Merfolk Shaman ,0,
948,2,G,TBLD Deeproot Guerrilla,Creature - Merfolk Warrior ,0,
67,3,G,TBLD Fallow Earth,Flash Sorcery,0,1.0
946,1,W,TBLD Practiced Embalmer,Creature - Zombie Cleric ,0,
945,1,B,TBLD Seagraf Skallywag,Creature - Zombie Rogue ,0,1.0
944,2,B,TBLD Orzhov Enforcer,Creature - Human Rogue ,0,
943,3,U,TBLD Master Thief,Creature - Human Rogue ,0,0.0
68,1,G,TBLD Enter the Unknown,Sorcery,0,1.0
941,4,B,TBLD Evernight Shade,Creature - Spirit ,0,1.0
940,2,W,TBLD Magus of the Dawn,Creature - Human Cleric Wizard ,0,
69,1,W,TBLD Pump it Up,Sorcery,0,
938,2,R,TBLD Drannith Stinger,Creature - Human Wizard ,0,
937,2,MRW,TBLD Savai Thundermane,Creature - Elemental Cat ,0,
936,1,W,TBLD Flourishing Fox,Creature - Fox ,0,
935,2,B,TBLD Nullpriest of Oblivion,Creature - Vampire Cleric ,0,1.0
934,3,B,TBLD Marauding Blight-Priest,Creature - Vampire Cleric ,0,
933,2,B,TBLD Magnanimous Count,Creature - Vampire Noble ,0,
186,5,B,TBLD Caustic Tar,Enchantment - Aura ,0,
618,0,MUB,TBLD Porous Aquifer,Land,0,
913,2,MGU,TBLD Neoform,Sorcery,0,
911,1,B,TBLD Gnarled Scarhide,Enchantment Creature - Minotaur ,0,
884,5,MRW,TBLD Swathcutter Giant,Creature - Giant Soldier ,0,1.0
883,5,C,TBLD Magus of Paradox,Artifact Creature - Golem Wizard ,0,0.0
882,2,MRW,TBLD Breakbot,Artifact Creature - Construct ,0,1.0
91,2,W,TBLD Barren Glory,Enchantment,0,1.0
880,0,C,TBLD Dustrier,Land Creature - Desert Horse ,0,
879,0,C,TBLD Eldrazi Temple,Land,0,
878,0,G,TBLD Haunted Woodland,Land,0,
877,0,R,TBLD Haunted Cave,Land,0,1.0
90,2,W,TBLD Pilgrims Ward,Enchantment,0,0.0
876,0,B,TBLD Haunted Tomb,Land,0,1.0
874,0,W,TBLD Haunted Veldt,Land,0,
873,0,U,TBLD Frothy Surf,Land,0,1.0
872,0,W,TBLD Prairie Lodge,Land,0,
871,0,B,TBLD Eerie Bog,Land,0,1.0
870,0,R,TBLD Rugged Peaks,Land,0,1.0
869,0,G,TBLD Autumn Glade,Land,0,
868,0,MBR,TBLD Aunties Hovel,Land,0,
867,0,MWU,TBLD Mist-Cloaked Moor,Land,0,
875,0,U,TBLD Haunted Lake,Land,0,
89,3,W,TBLD Ghostly Prison,Enchantment,0,
886,1,B,TBLD Scheming Symmetry,Sorcery,0,1.0
887,5,B,TBLD Cruel Entertainment,Sorcery,0,
910,2,B,TBLD Nyxborn Slayer,Enchantment Creature - Minotaur ,0,1.0
909,2,R,TBLD Rolling Thunder,Sorcery,0,
79,1,B,TBLD Taste of Blood,Sorcery,0,
907,4,B,TBLD Dead Revels,Sorcery,0,
906,2,C,TBLD Subvert,Sorcery,0,0.25806451612903225
80,2,B,TBLD Dream Rupture,Sorcery,0,
904,3,B,TBLD Forced March,Sorcery,0,
81,4,G,TBLD Dubious Challenge,Sorcery,0,
83,6,MBG,TBLD Deadbridge Chant,Enchantment,0,
900,7,B,TBLD Desecrate,Sorcery,0,0.0
898,5,U,TBLD Scornful Rejection,Flash Sorcery,0,0.0
897,4,B,TBLD Lampads Touch,Sorcery,0,0.0
896,2,MWU,TBLD Dramatic Rescue,Flash Sorcery,0,
895,6,MUB,TBLD Brain Drain,Flash Sorcery,0,
893,2,B,TBLD Invasive Therapy,Sorcery,0,0.3333333333333333
84,3,W,TBLD Martial Law,Enchantment,0,
890,1,G,TBLD Worldly Tutor,Flash Sorcery,0,1.0
87,2,U,TBLD Stasis,Enchantment,0,1.0
88,5,U,TBLD Dream Halls,Enchantment,0,
78,4,B,TBLD Memoricide,Sorcery,0,
952,5,U,TBLD Scholarly Tutor,Sorcery,0,1.0
120,3,R,TBLD Markov Blademaster,Creature - Vampire Warrior ,0,
616,0,C,TBLD Phyrexian Factory,Artifact Land,0,1.0
265,6,G,TBLD Feed the Pack,Enchantment,0,
264,4,B,TBLD Raiders Spoils,Enchantment,0,
175,3,W,TBLD Solemn Offering,Sorcery,0,
262,7,G,TBLD Colossification,Enchantment - Aura ,0,
260,1,B,TBLD Mandatory Upgrades,Enchantment - Aura ,0,
259,2,W,TBLD Binding Sanction,Enchantment,0,1.0
176,5,R,TBLD Hour of Devastation,Sorcery,0,
177,2,MWB,TBLD Despark,Flash Sorcery,0,
266,2,W,TBLD Runed Halo,Enchantment,0,
256,4,W,TBLD Timely Hordemate,Creature - Human Warrior ,0,
254,5,R,TBLD Skarrgan Firebird,Creature - Elemental Bird ,0,1.0
253,4,R,TBLD Bolrac-Clan Wrecker,Creature - Giant Warrior ,0,1.0
252,2,R,TBLD Raging Redcap,Creature - Goblin Knight ,0,
251,2,R,TBLD Skinbrand Goblin,Creature - Goblin Warrior ,0,1.0
249,3,R,TBLD Fire Urchin,Creature - Elemental ,0,
248,7,HUR,TBLD Djinn Illuminatus,Creature - Djinn ,0,
247,2,B,TBLD Piper of the Swarm,Creature - Human Shaman ,0,
245,3,G,TBLD Slaughterhorn,Creature - Beast ,0,1.0
255,3,R,TBLD Viashino Fangtail,Creature - Lizard Warrior ,0,
243,5,MBG,TBLD Sporiagoyf,Creature - Lhurgoyf ,0,
268,6,W,TBLD Catastrophe,Sorcery,0,
270,2,W,TBLD Dawn to Dusk,Sorcery,0,
288,3,R,TBLD Rift Bolt,Sorcery,0,1.0
287,6,B,TBLD Terminal Event,Sorcery,0,
285,7,B,TBLD Wits End,Sorcery,0,
284,3,R,TBLD Wheel of Destiny,Sorcery,0,
283,2,G,TBLD Summer Bloom,Sorcery,0,
169,2,MGW,TBLD Song of the Dryads,Enchantment - Aura ,0,
170,2,W,TBLD Spectral Steel,Enchantment - Aura ,0,
171,2,U,TBLD Hunters Mark,Enchantment - Aura Curse ,0,
269,2,W,TBLD Idyllic Tutor,Sorcery,0,0.8235294117647058
172,2,G,TBLD Seacoast Caretaker,Creature - Merfolk Shaman ,0,1.0
278,1,W,TBLD Sacred Cat,Creature - Cat ,0,
277,2,W,TBLD Treaty,Flash Sorcery,0,1.0
276,3,W,TBLD Sudden Banishment,Flash Sorcery,0,
275,2,W,TBLD Squadron Hawk,Creature - Bird ,0,
174,1,W,TBLD Nyxborn Shieldmate,Enchantment Creature - Human Soldier ,0,1.0
273,3,MGU,TBLD Re-Spec,Flash Sorcery,0,
272,1,MWU,TBLD Feeling of Dread,Flash Sorcery,0,
271,3,W,TBLD Forsake the Worldly,Flash Sorcery,0,0.0
279,1,W,TBLD Viziers Honor Guard,Creature - Human Warrior ,0,1.0
179,4,U,TBLD Devious Cover-Up,Flash Sorcery,0,
240,6,G,TBLD Skarrg Goliath,Creature - Beast ,0,
239,6,G,TBLD Brutalizer Exarch,Creature - Phyrexian ,0,0.0
209,1,U,TBLD Psychic Surgery,Enchantment,0,0.7272727272727273
208,2,R,TBLD Dueling Zone,Enchantment,0,1.0
206,1,B,TBLD Bankrupt in Blood,Sorcery,0,0.6
183,2,W,TBLD Gift of Immortality,Enchantment - Aura ,0,0.6666666666666666
205,8,B,TBLD Army of the Damned,Sorcery,0,1.0
204,1,W,TBLD Unwelcome Visitation,Sorcery,0,0.0
184,4,W,TBLD Curse of Tithes,Enchantment - Aura Curse ,0,
203,2,U,TBLD Radical Idea,Flash Sorcery,0,1.0
210,5,W,TBLD Standardize,Sorcery,0,0.0
201,1,W,TBLD Wake the Reflections,Sorcery,0,1.0
197,6,W,TBLD Planar Cleansing,Sorcery,0,0.0
195,2,W,TBLD Charming Prince,Creature - Human Noble ,0,
194,2,W,TBLD Remorseful Cleric,Creature - Spirit Cleric ,0,0.5
193,2,W,TBLD Tocatli Honor Guard,Creature - Human Soldier ,0,
192,3,W,TBLD Magus of Silent Stone,Creature - Dwarf Wizard ,0,0.0
191,3,W,TBLD Fiend Hunter,Creature - Human Cleric ,0,1.0
190,2,R,TBLD Harsh Mentor,Creature - Human Cleric ,0,0.0
189,2,B,TBLD Qarsi Sadist,Creature - Human Cleric ,0,
199,8,B,TBLD Brutal Suppression,Sorcery,0,1.0
211,4,U,TBLD Welcome to the Fold,Sorcery,0,0.0
212,5,R,TBLD Public Outburst,Sorcery,0,0.6666666666666666
213,3,R,TBLD Gravitic Punch,Sorcery,0,
238,4,B,TBLD Entomber Exarch,Creature - Phyrexian ,0,
237,2,W,TBLD Annointer Exarch,Flash Creature - Phyrexian ,0,
236,3,U,TBLD Deceiver Exarch,Flash Creature - Phyrexian ,0,
235,6,U,TBLD Surtland Elementalist,Creature - Giant Elementalist ,0,
234,2,W,TBLD Lucky Tomcat,Creature - Cat ,0,1.0
233,1,W,TBLD Volatile Simulacrum,Artifact Creature - Homunculus ,0,
231,3,MRW,TBLD Mythic Thunderbird,Creature - Elemental Bird ,0,
229,5,R,TBLD Surtland Flinger,Creature - Giant Berserker ,0,
228,5,B,TBLD Cleaving Reaper,Creature - Angel Berserker ,0,
227,2,W,TBLD Youthful Valkyrie,Creature - Angel ,0,
226,6,W,TBLD Wispweaver Angel,Creature - Angel ,0,1.0
225,5,U,TBLD Beguiler of Wills,Creature - Human Wizard ,0,
222,5,W,TBLD Battlegrace Angel,Creature - Angel ,0,
221,2,W,TBLD Mindnet Sentinel,Creature - Angel ,0,0.26666666666666666
220,6,W,TBLD Armistice Angel,Flash Creature - Angel ,0,0.2
218,2,MWB,TBLD Disinter,Sorcery,0,1.0
217,2,MGW,TBLD Eladamris Call,Flash Sorcery,0,1.0
215,1,W,TBLD Doomed Traveler,Creature - Human Soldier ,0,0.0
214,3,W,TBLD Embodiment of Valor,Creature - Avatar ,0,
290,4,R,TBLD Ruthless Impact,Sorcery,0,0.0
291,0,C,TBLD Aetheric Generator,Land - Station ,0,1.0
166,2,G,TBLD Scout the Terrain,Sorcery,0,
164,2,R,TBLD Twinflame,Sorcery,0,
130,2,W,TBLD Martyr of Dusk,Creature - Vampire Soldier ,0,
515,0,MUR,TBLD Izzet Boilerworks,Land,0,1.0
131,2,U,TBLD Triskaidekaphile,Creature - Human Wizard ,0,
132,1,B,TBLD Serrated Scorpion,Creature - Scorpion ,0,1.0
432,0,MRG,TBLD Gruul Turf,Land,0,
431,0,MWUBRG,TBLD Imperial Coliseum,Land,0,1.0
134,5,W,TBLD Armament Angel,Creature - Angel // Sorcery - Adventure ,0,1.0
428,0,C,TBLD Root of Origin,Land,0,1.0
516,0,MRGW,TBLD Jungle Shrine,Land,0,
427,0,MWG,TBLD Garden Path,Land,0,1.0
425,0,MGUR,TBLD Frontier Bivouac,Land,0,
137,2,W,TBLD Shepherd of the Flock,Creature - Human Scout // Flash Sorcery - Adventure ,0,
343,0,C,TBLD Field of Ruin,Land,0,1.0
342,0,MUG,TBLD Exotic Habitat,Land,0,1.0
138,3,R,TBLD Merchant of the Vale,Creature - Human Peasant // Flash Sorcery - Adventure ,0,
139,1,B,TBLD Blightsqueaker,Creature - Rat Shaman // Flash Sorcery - Adventure ,0,
338,0,MUB,TBLD Dimir Aqueduct,Land,0,
337,0,MWGU,TBLD Dewy Bramble,Land,0,
426,0,MRG,TBLD Fungal Reaches,Land,0,
517,0,C,TBLD Mage-Ring Network,Land,0,
518,0,MBR,TBLD Magma Sink,Land,0,1.0
519,0,MRG,TBLD Primitive Den,Land - Mountain Forest ,0,1.0
121,3,B,TBLD Markov Dreadknight,Creature - Vampire Knight ,0,
122,4,B,TBLD Sanctum Seeker,Creature - Vampire Knight ,0,1.0
615,0,C,TBLD Petrified Field,Land,0,
123,4,W,TBLD Bishop of Rebirth,Creature - Vampire Cleric ,0,
124,5,B,TBLD Champion of Dusk,Creature - Vampire Knight ,0,1.0
125,4,R,TBLD Falkenrath Marauders,Creature - Vampire Warrior ,0,
126,2,B,TBLD Oathsworn Vampire,Creature - Vampire Knight ,0,1.0
612,0,MWB,TBLD Orzhov Basilica,Land,0,
610,0,MRWB,TBLD Nomad Outpost,Land,0,1.0
127,2,U,TBLD Blightwater Ferryman,Creature - Zombie Rogue ,0,
608,0,MBG,TBLD Mucky Clutch,Land,0,
527,0,G,TBLD Mossy Dell,Land,0,1.0
526,0,MBR,TBLD Molten Slagheap,Land,0,1.0
128,2,B,TBLD Rotting Butcher,Creature - Zombie ,0,
524,0,MUR,TBLD Oceanic Trench,Land,0,1.0
129,4,B,TBLD Scion of the Swarm,Creature - Vampire Cleric ,0,
522,0,C,TBLD Mirrorway,Enchantment Land,0,
521,0,MWUBRG,TBLD Mana Confluence,Land,0,1.0
520,0,MRG,TBLD Timeworn Valley,Land,0,1.0
140,2,B,TBLD Inkfathom Angler,Creature - Merfolk // Sorcery - Adventure ,0,0.5
617,0,MBGU,TBLD Luminescent Stand,Land,0,
141,2,U,TBLD Seasong Muse,Flash Creature - Merfolk Wizard // Flash Sorcery - Adventure ,0,
335,0,MBR,TBLD Deserted Fairground,Land,0,1.0
308,0,MWBG,TBLD Parched Brushland,Land,0,
155,3,MGU,TBLD Music_Muzzle,Flash Sorcery // Flash Sorcery,0,1.0
157,4,MUR,TBLD Trounce_Trace,Flash Sorcery // Flash Sorcery,0,1.0
306,0,MWR,TBLD Boros Garrison,Land,0,1.0
305,0,MBR,TBLD Bloods-Soaked Dungeon,Land - Swamp Mountain ,0,1.0
304,0,MBR,TBLD Ashen Stronghold,Land,0,1.0
303,0,MWU,TBLD Blessed Fountain,Land - Plains Island ,0,1.0
302,0,MWR,TBLD Besieged Battlements,Land,0,1.0
309,0,C,TBLD Buried Ruin,Land,0,0.0
301,0,MRWB,TBLD Wartorn Field,Land,0,1.0
299,0,C,TBLD Eremite Shelter,Land,0,0.8
298,0,MWUB,TBLD Arcane Sanctum,Land,0,1.0
296,0,MWG,TBLD Empty Hamlet,Land,0,
158,4,MRU,TBLD Fire_Ice,Flash Sorcery // Flash Sorcery,0,
294,0,MGRW,TBLD Savanna Mesa,Land,0,
159,4,MRW,TBLD Procure_Preserve,Flash Sorcery // Flash Sorcery,0,
160,8,MGU,TBLD Bounty_Barren,Sorcery // Sorcery,0,
163,1,G,TBLD Natural State,Flash Sorcery,0,0.0
300,0,MWU,TBLD Azorius Chancery,Land,0,1.0
310,0,C,TBLD Drownyard Temple,Land,0,
311,0,MWU,TBLD Calciform Pools,Land,0,
154,6,MBG,TBLD Down_Dirty,Sorcery // Sorcery,0,
143,9,MBU,TBLD Retire_Restart,Sorcery // Sorcery,0,1.0
144,5,MBG,TBLD Clubs_Spades,Flash Sorcery // Sorcery,0,
331,0,C,TBLD Darksteel Citadel,Artifact Land,0,1.0
330,0,C,TBLD Crystal Vein,Land,0,1.0
329,0,MWUBRG,TBLD Crystal Garden,Land,0,
145,4,MWB,TBLD Instruct_Ignore,Sorcery // Sorcery,0,0.0
146,5,MGW,TBLD Unity_Strength,Flash Sorcery // Flash Sorcery,0,1.0
326,0,MBG,TBLD Hermit Shack,Land,0,1.0
147,6,MGW,TBLD Flower_Flourish,Sorcery // Sorcery,0,
323,0,MWR,TBLD Consecrated Armory,Land,0,
149,5,MUR,TBLD Invert_Exchange,Flash Sorcery // Sorcery,0,
318,0,MURW,TBLD Coastal Keep,Land,0,
317,0,MWUBRG,TBLD Clockwork Portal,Artifact Land,0,1.0
316,0,MWR,TBLD Classy Theater,Land,0,1.0
150,8,MBG,TBLD Find_Finality,Sorcery // Sorcery,0,0.8
315,0,MWR,TBLD Daunting Precipice,Land - Mountain Plains ,0,1.0
152,3,MRG,TBLD Might_Magic,Sorcery // Flash Sorcery,0,1.0
313,0,MRBG,TBLD Jungle Tar Pit,Land,0,
153,5,MGU,TBLD Give_Take,Sorcery // Sorcery,0,
142,1,B,TBLD Touch of the Horned God,Flash Sorcery,0,1.0
953,1,B,TBLD Cynical Tutor,Sorcery,0,1.0
914,2,R,TBLD Go for Blood,Sorcery,0,
955,2,R,TBLD Ash Zealot,Creature - Human Warrior ,0,0.0
1141,1,G,TBLD Coldwater Paladin,Creature - Merfolk Knight ,0,
1140,3,U,TBLD Atlantean Reejery,Creature - Merfolk Knight ,0,1.0
1139,2,B,TBLD Sawtooth Wanderer,Creature - Merfolk Warrior ,0,
1138,2,MGU,TBLD Merfolk Mistbinder,Creature - Merfolk Shaman ,0,1.0
1137,3,U,TBLD Watertrap Weaver,Flash Creature - Merfolk Wizard ,0,1.0
1136,2,U,TBLD Scroll Thief,Creature - Merfolk Wizard ,0,
15,1,W,TBLD Elite Arrester,Creature - Human Soldier ,0,
1135,2,MWU,TBLD Whirlportal Mage,Flash Creature - Merfolk Wizard ,0,
1134,2,MWU,TBLD Triton Meddler,Creature - Merfolk Wizard ,0,1.0
16,2,W,TBLD Leonin Arbiter,Creature - Cat Cleric ,0,
1133,1,WUH,TBLD Zealous Guardian,Flash Creature - Kithkin Soldier ,0,
17,3,W,TBLD Auratouched Vagabond,Creature - Cat Cleric Rogue ,0,
1131,2,MUB,TBLD Agony Warp,Flash Sorcery,0,
